Time (seconds);Temp;Hum
3601,63;22;829
7201,63;23;813
10801,63;24;799
14401,63;25;784
18001,63;25;769
21601,63;25;754
25201,63;25;740
28801,63;25;726
32401,63;25;709
36001,63;25;696
39601,63;25;578
43201,63;25;662
46801,63;25;650
50401,63;25;632
54001,63;25;620
57601,63;25;602
61201,63;25;589
64801,63;25;578
68401,63;25;558
72001,63;25;545
75601,63;25;528
79201,63;25;517
82801,63;25;508
86401,63;23;910
90001,63;22;891
93601,63;22;880
97201,63;22;867
100801,63;22;850
104401,63;22;833
108001,63;22;821
111601,63;22;806
115201,63;22;790
118801,63;22;774
122401,63;22;763
126001,63;22;742
129601,63;22;734
133201,63;22;716
136801,63;22;704
140401,63;22;686
144001,63;22;670
147601,63;22;653
151201,63;22;641
154801,63;22;623
158401,63;22;610
162001,63;22;594
165601,63;22;582
169201,63;22;566
172801,63;22;550
