Données montre connectée;;;;;
;;;;;
Heure;Durée activité (en s);Distance parcourues (en m);Fréquence cardiaque moyenne;Vitesse moyenne (en m/s);Vitesse moyenne (en km/h)
10:11;37;111;100;;
10:12;60;174;110;;
10:13;60;186;115;;
10:14;60;174;114;;
10:15;60;168;120;;
10:16;60;156;130;;
10:17;60;174;140;;
10:18;60;180;145;;
10:19;60;186;144;;
10:20;60;162;149;;
10:21;60;150;148;;
10:22;60;156;150;;
10:23;60;168;135;;
10:24;60;168;130;;
10:25;60;174;132;;
10:26;60;162;138;;
10:27;60;156;141;;
10:28;60;168;145;;
10:29;60;156;146;;
10:30;60;150;142;;
10:31;60;156;134;;
10:32;60;174;148;;
10:33;12;36;150;;
;;;;;
;;Distance parcourue en m;;;
;;Distance parcourue en km;;;
;;Vitesse moyenne en km/h;;;
;;Fréquence cardiaque moyenne;;;
